id_Marca,Marca
1,3m
2,AMD
3,ASRock
4,ASUS
5,Adata
6,Aerocool
7,Afox
8,Aitek
9,Akasa
10,Almeida
11,Aorus
12,Apple
13,Arktek
14,Asustor
15,BPC
16,BRX
17,Belmicro
18,Biostar
19,Bluecase
20,Brazil PC
21,Bright
22,C3Tech
23,Casemall
24,Chinamate
25,Cobra Gamer
26,Colorful
27,Cooler Master
28,Corsair
29,Cougar
30,Cowboy
31,Creality
32,Crucial
33,DEX
34,Dazz
35,Deepcool
36,Dell
37,Dmix
38,Draxen
39,Duex
40,Evga
41,Evolut
42,Evus
43,Fortrek
44,Gainward
45,Galax
46,Gamdias
47,Gamemax
48,Gigabyte
49,Goldentec
50,Hayom
51,Hayonik
52,Hikvision
53,Hoopson
54,Hp
55,Husky
56,Husky Gaming
57,Husky Technologies
58,Hyperx
59,Inno3d
60,Intel
61,K-mex
62,Kingcomp
63,Kingspec
64,Kingston
65,Knup
66,Ktrok
67,LG
68,Lenovo
69,Lexar
70,Lian Li
71,Login
72,MSI
73,Macroway
74,Manli
75,Markvision
76,Maxprint
77,Megaview
78,Micron
79,Motospeed
80,Mtek
81,Multi
82,Mymax
83,NTC
84,NZXT
85,Nanya
86,Netac
87,Netcore
88,Nvidia
89,OEM
90,Oxy
91,Patriot
92,Pixxo
93,Pny
94,Power
95,Qnap
96,Realme
97,Redragon
98,Rise Mode
99,Ryzen
100,Samsung
101,Sapphire
102,Sharkoon
103,Smart
104,Soyo
105,Storm-z
106,T-DAGGER
107,Tarct
108,Team Group
109,Thermaltake
110,Tronos
111,Ultra
112,Up Gamer
113,Vinik
114,Volt
115,Win Memory
116,X-Linne
117,XFX
118,XPG
119,Zotac
