id_Produto,Produto
1,"Acessório Lian Li Cabo PCI-E, 4.0, X16, Riser, Preto"
2,Adaptador Chipal P/ Ligar Duas Fontes ATX Add2psu
3,Adaptador Para Fonte De Energia Duas Fontes Em Um Pc 2psu/1pc Tx-n02-b 4pin
4,"Apple Pencil Mk0c2za/a, 1ª Geração,Branco"
5,"Apple Pencil Mqly3am/a,1ª Geração,Branco"
6,"Apple Pencil Mu8f2am/a, 2ª Geração,Branco"
7,"Apple Watch S3 Mtf22ll/a 42mm,aluminium Sport Band,Silver,White"
8,"Apple Watch S7 Mkn03ll/a 41mm,Aluminium Sport Band,Green"
9,"Apple Watch S8 Mnu83ll/a 41mm,Aluminium Sport Band, Midnight"
10,"Apple Watch S8 Mnuf3ll/a 41mm Aluminium Sport Band,Starlight"
11,"Apple Watch S8 Mnul3ll/a 45mm,M-l  Aluminium Sport Band,Midnight"
12,"Apple Watch Se 2 Mnt83ll/a 40mm,Aluminum Sport Band,Midnight"
13,"Apple Watch Se Mkq53ll/a 44mm, Aluminium Sport Band,Gold"
14,"Apple Watch Se Mkql3ll/a 40mm Celular,Aluminium Sport Band , Silver Abyss Blue"
15,"Apple Watch Se Mntd3ll/a 44mm,S-m Aluminium Sport Band, Starlight"
16,"Apple Watch Se Mntf3ll/a 44mm,S-m Aluminium Sport Band,Midnight"
17,"Apple Watch Se2 Mntk3ll/a 40mm, S-m Celular, Aluminium Sport Band,Starlight"
18,"Apple Watch Ultra Mnha3ll/a 49mm,Alpine Loop S, Titanium Orange"
19,"Apple Watch Ultra Mnhc3ll/a 49mm,Alpine Loop S,Titanium Green"
20,"Apple Watch Ultra Mqeu3ll/a 49mm,M Alpine Loop,Titanium Orange"
21,"Apple Watch Ultra Mqf03ll/a 49mm, M, Apine,Titanium Starlight"
22,"Apple Watch Ultra Mqfw3zp/a 49mm,S-m,Trail Loop,Titanium Black"
23,"Asus Tuf Gaming A520m Plus Ii (am4 - Ddr4 4866 O.c), Chipset AMD A520, USB 3.2, Slot M.2, Micro ATX"
24,"Biostar Racing Z490gta Evo (lga 1200 - Ddr4 4400 O.c), Chipset Intel Z490, Usb 3.2, Slot M.2 - Atx"
25,"Bloco VGA Barrow Para 1660ti, 2060 E 2070 Evga - Bs-nvg2070-pa"
26,Bloco VGA Barrow Para Rtx 3080 (ti) E Rtx 3090 Msi Gaming Trio - Bs-msg3090m-pa
27,Bloco Vga Barrow Para Rtx 3060ti E 3070 Asus Strix - Bs-ass3070-pa
28,"Bloco Vga Barrow Para Rtx 3080, 3080 Ti E 3090 Aorus - Bs-gix3090-pa2"
29,"Cabo Adaptador Energia 6pin Para 2x 6+2pin Pci-e, Extensor Divisor, Conector Splitter, Adaptador Y, Preto e Amarelo - Placa De Vídeo"
30,"Cabo Adaptador Energia 6pin Para 8pin Pci-e Extensor Divisor, Conector Splitter, Adaptador Y, Amarelo - Placa De Vídeo"
