id,Valor,Data,Hora,id_Produto,id_Site,id_Link,id_Categoria,id_Marca
1,"2149,99",2023-10-22,19:49:38,4069,1,3875,3,0
2,"1249,99",2023-10-22,19:49:38,4042,1,1666,3,2
3,"2099,99",2023-10-22,19:49:38,3817,1,1088,3,0
4,"2368,99",2023-10-22,19:49:38,3854,1,2477,3,72
5,"2199,99",2023-10-22,19:49:38,3829,1,3927,3,72
6,"1199,99",2023-10-22,19:49:38,3792,1,2848,3,39
7,"1959,99",2023-10-22,19:49:38,3902,1,3727,3,48
8,"2099,99",2023-10-22,19:49:38,3828,1,3810,3,72
9,"3099,99",2023-10-22,19:49:38,3926,1,3549,3,48
10,"1499,99",2023-10-22,19:49:38,3815,1,2847,3,45
11,"134,1",2023-10-22,19:49:38,2716,1,4083,3,88
12,"819,99",2023-10-22,19:49:38,3596,1,635,3,45
13,"1999,99",2023-10-22,19:49:38,3814,1,929,3,45
14,"2199,99",2023-10-22,19:49:38,3421,1,2478,3,0
15,"1899,99",2023-10-22,19:49:38,3416,1,2468,3,0
16,"309,99",2023-10-22,19:49:38,4020,1,2746,3,2
17,"379,99",2023-10-22,19:49:38,3579,1,4044,3,39
18,"789,99",2023-10-22,19:49:38,3552,1,2423,3,45
19,"189,99",2023-10-22,19:49:38,3534,1,1470,3,45
20,"249,99",2023-10-22,19:49:38,3539,1,4715,3,0
21,"1749,99",2023-10-22,19:49:38,3855,1,2969,3,0
22,"882,79",2023-10-22,19:49:38,3747,1,2653,3,0
23,"2949,99",2023-10-22,19:49:38,3934,1,3528,3,0
24,"799,99",2023-10-22,19:49:38,4032,1,3911,3,2
25,"519,99",2023-10-22,19:49:38,4015,1,777,3,2
26,"1199,99",2023-10-22,19:49:38,3566,1,151,3,45
27,"2199,99",2023-10-22,19:49:38,3853,1,928,3,48
28,"1369,99",2023-10-22,19:49:38,3565,1,50,3,111
29,"2439,0",2023-10-22,19:49:38,3701,1,2662,3,72
30,"449,99",2023-10-22,19:49:38,734,1,2479,3,27
31,"2319,99",2023-10-22,19:49:38,3420,1,1356,3,48
32,"1499,99",2023-10-22,19:49:38,3571,1,170,3,72
33,"2499,99",2023-10-22,19:49:38,3831,1,1414,3,45
34,"499,99",2023-10-22,19:49:38,4016,1,1745,3,2
35,"2219,99",2023-10-22,19:49:38,3811,1,1980,3,72
36,"2229,99",2023-10-22,19:49:38,3906,1,3771,3,72
37,"2849,99",2023-10-22,19:49:38,3925,1,3553,3,45
38,"3499,99",2023-10-22,19:49:38,3422,1,3423,3,0
39,"4199,99",2023-10-22,19:49:38,3977,1,3261,3,72
40,"1349,99",2023-10-22,19:49:38,3806,1,1979,3,72
41,"2099,99",2023-10-22,19:49:38,3775,1,992,3,2
42,"5899,99",2023-10-22,19:49:38,3972,1,2819,3,0
43,"3999,99",2023-10-22,19:49:38,3946,1,3311,3,0
44,"1175,0",2023-10-22,19:49:38,3599,1,1174,3,45
45,"108,99",2023-10-22,19:49:38,36,1,809,3,98
46,"429,99",2023-10-22,19:49:38,3532,1,4771,3,72
47,"1022,84",2023-10-22,19:49:38,3700,1,2295,3,72
48,"153,8",2023-10-22,19:49:38,2738,1,3638,3,88
49,"6599,99",2023-10-22,19:49:38,4107,1,2815,3,2
50,"1399,99",2023-10-22,19:49:38,3801,1,1969,3,45
51,"3999,99",2023-10-22,19:49:38,3950,1,3264,3,0
52,"125,9",2023-10-22,19:49:38,2711,1,4325,3,39
53,"1129,99",2023-10-22,19:49:38,3555,1,779,3,0
54,"1499,99",2023-10-22,19:49:38,3672,1,1709,3,48
55,"6399,99",2023-10-22,19:49:38,3969,1,2818,3,0
56,"3899,99",2023-10-22,19:49:38,3944,1,3888,3,48
57,"719,99",2023-10-22,19:49:38,4030,1,3910,3,2
58,"2399,99",2023-10-22,19:49:38,3852,1,2817,3,119
59,"1499,99",2023-10-22,19:49:38,3735,1,2627,3,0
60,"11399,99",2023-10-22,19:49:38,3998,1,2528,3,0
61,"999,99",2023-10-22,19:49:38,3760,1,2688,3,2
62,"919,99",2023-10-22,19:49:38,3786,1,1926,3,0
63,"12999,99",2023-10-22,19:49:38,3997,1,2527,3,0
64,"5599,99",2023-10-22,19:49:38,3976,1,2814,3,0
65,"199,99",2023-10-22,19:49:38,3702,1,2245,3,72
66,"3699,99",2023-10-22,19:49:38,3886,1,2744,3,0
67,"11299,99",2023-10-22,19:49:38,4001,1,2533,3,48
68,"942,62",2023-10-22,19:49:38,2656,1,3481,3,2
69,"4399,99",2023-10-22,19:49:38,3955,1,3260,3,72
70,"11099,99",2023-10-22,19:49:38,4000,1,2535,3,72
71,"5999,99",2023-10-22,19:49:38,3962,1,2995,3,0
72,"4599,99",2023-10-22,19:49:38,3961,1,3357,3,0
73,"899,99",2023-10-22,19:49:38,3678,1,2313,3,3
74,"7499,99",2023-10-22,19:49:38,4111,1,2968,3,2
75,"11999,99",2023-10-22,19:49:38,4007,1,2534,3,72
76,"184,41",2023-10-22,19:49:38,2745,1,3066,3,0
77,"2899,99",2023-10-22,19:49:38,3937,1,3531,3,72
78,"726,99",2023-10-22,19:49:38,4024,1,3180,3,2
79,"1699,99",2023-10-22,19:49:38,4088,1,3509,3,101
80,"4297,0",2023-10-22,19:49:38,3771,1,1243,3,2
81,"3299,99",2023-10-22,19:49:38,3863,1,1547,3,0
82,"129,99",2023-10-22,19:49:38,4804,1,1893,3,27
83,"2799,99",2023-10-22,19:49:38,3928,1,3530,3,72
84,"4599,99",2023-10-22,19:49:38,3951,1,3313,3,48
85,"2099,99",2023-10-22,19:49:38,3901,1,3713,3,45
86,"3399,99",2023-10-22,19:49:38,3915,1,3838,3,72
87,"3499,99",2023-10-22,19:49:38,3912,1,3880,3,48
88,"399,99",2023-10-22,19:49:38,4806,1,2474,3,0
89,"5599,99",2023-10-22,19:49:38,3968,1,2807,3,48
90,"1594,0",2023-10-22,19:49:38,3604,1,2850,3,45
91,"799,99",2023-10-22,19:49:38,3553,1,2526,3,72
92,"1799,99",2023-10-22,19:49:38,3807,1,1914,3,0
93,"3099,99",2023-10-22,19:49:38,4094,1,4089,3,2
94,"8199,99",2023-10-22,19:49:38,3988,1,2693,3,72
95,"989,99",2023-10-22,19:49:38,3559,1,2745,3,0
